ALL_LINES,VERTICAL_LINES,HORIZONTAL_LINES,DIAGONAL_UP_LINES,DIAGONAL_DOWN_LINES,LINE_SEGMENTS,VERTICAL_LINE_SEGMENTS,HORIZONTAL_LINE_SEGMENTS,DIAGONAL_UP_LINE_SEGMENTS,DIAGONAL_DOWN_LINE_SEGMENTS,CIRCLES,ELLIPSES,TRIANGLES,SQUARES,PENTAGONS,HEXAGONS,HEPTAGONS,OCTAGONS,NONAGONS,ENTROPY,aliceBlue,antiqueWhite,aqua,aquamarine,azure,beige,bisque,black,blanchedAlmond,blue,blueViolet,brown,burlyWood,cadetBlue,chartreuse,chocolate,coral,cornflowerBlue,cornsilk,crimson,cyan,darkBlue,darkCyan,darkGoldenRod,darkGray,darkGrey,darkGreen,darkKhaki,darkMagenta,darkOliveGreen,darkOrange,darkOrchid,darkRed,darkSalmon,darkSeaGreen,darkSlateBlue,darkSlateGray,darkSlateGrey,darkTurquoise,darkViolet,deepPink,deepSkyBlue,dimGray,dimGrey,dodgerBlue,fireBrick,floralWhite,forestGreen,fuchsia,gainsboro,ghostWhite,gold,goldenRod,gray,grey,green,greenYellow,honeyDew,hotPink,indianRed,indigo,ivory,khaki,lavender,lavenderBlush,lawnGreen,lemonChiffon,lightBlue,lightCoral,lightCyan,lightGoldenRodYellow,lightGray,lightGrey,lightGreen,lightPink,lightSalmon,lightSeaGreen,lightSkyBlue,lightSlateGray,lightSlateGrey,lightSteelBlue,lightYellow,lime,limeGreen,linen,magenta,maroon,mediumAquaMarine,mediumBlue,mediumOrchid,mediumPurple,mediumSeaGreen,mediumSlateBlue,mediumSpringGreen,mediumTurquoise,mediumVioletRed,midnightBlue,mintCream,mistyRose,moccasin,navajoWhite,navy,oldLace,olive,oliveDrab,orange,orangeRed,orchid,paleGoldenRod,paleGreen,paleTurquoise,paleVioletRed,papayaWhip,peachPuff,peru,pink,plum,powderBlue,purple,rebeccaPurple,red,rosyBrown,royalBlue,saddleBrown,salmon,sandyBrown,seaGreen,seaShell,sienna,silver,skyBlue,slateBlue,slateGray,slateGrey,snow,springGreen,steelBlue,tan,teal,thistle,tomato,turquoise,violet,wheat,white,whiteSmoke,yellow,yellowGreen,NAME
0,0,0,0,0,67,0,2,33,32,0,28,3,3,0,0,0,0,0,7.34318,0,0.69069,0,0,0,0.06382,0.84562,0,0.75201,0,0,0.44778,0.90424,0,0,0.1841,0.77146,0,0.35993,0.04042,0,0,0,0.02056,0.33569,0.33569,0,0.33667,0,0,0.02319,0,0.02937,0.98125,0,0,0,0,0,0,0.00292,0,0.33569,0.33569,0,0.26076,0.38417,0,0,0.33569,0,0.00472,0.06014,0.33569,0.33569,0,0,0,0.11403,0.89556,0,0.04556,0.39632,0,0.13472,0,0.28493,0,0.95271,0,0.09618,0.33569,0.33569,0,0.7791,0.96924,0,0,0,0,0,0.07472,0,0,0.63451,0,0.02937,0,0,0.00049,0,0,0,0,0,0.00236,0,0,0.81007,0.80785,0.86292,0,0.48486,0.00035,0,0.01514,0.03917,0.00826,0.34569,0,0,0.42361,0.68014,0.91625,0.63986,0.67465,0.00701,0,0,0,0.02937,0.9259,0,0.17069,0.94139,0.84757,0,0.67097,0.67076,0.33569,0,0,0,0,0.40139,0,0,0.88507,0,0.00306,0.65125,0,0.00813,0.76986,0,0.33569,0.00035,0,bruegelTest2_original_bruegel2.jpg_c5df2b33-163a-43e1-bcda-d244a89287f5.jpg
0,0,0,0,0,51,0,0,26,25,0,17,1,5,1,0,0,0,0,7.53025,0.00972,0.57674,0.0016,0.00618,0.00979,0.1366,0.69215,0.00007,0.64243,0.00049,0.00042,0.46708,0.78924,0.01194,0.00111,0.47375,0.73868,0.00486,0.42403,0.16458,0.0016,0.00049,0.0016,0.1409,0.16528,0.16528,0.00083,0.49521,0,0.02312,0.15993,0.00056,0.1891,0.85854,0.00826,0.00201,0.01118,0.01118,0.0016,0.00021,0.07417,0.00174,0.16528,0.16528,0.00208,0.38215,0.37583,0.00257,0,0.16528,0.00417,0.04403,0.27028,0.16528,0.16528,0.00083,0.00375,0.00646,0.07771,0.75049,0.00021,0.11097,0.57132,0.00431,0.01576,0.00104,0.39556,0.01188,0.77222,0.01104,0.17917,0.16528,0.16528,0.00743,0.35139,0.87069,0.0041,0.00882,0.01076,0.01076,0.01007,0.15014,0.00083,0.00257,0.47333,0,0.1891,0.00618,0.00049,0.00118,0.00243,0.00403,0.00201,0.00104,0.00604,0.03993,0.00118,0.00694,0.3816,0.72486,0.75618,0.00049,0.44812,0.01153,0.00757,0.11333,0.24368,0.00187,0.47319,0.00743,0.01236,0.14347,0.59639,0.74097,0.71347,0.26687,0.00319,0.01229,0,0.00111,0.1891,0.49111,0.00319,0.4616,0.82611,0.84021,0.00403,0.44528,0.69868,0.16528,0.01014,0.00201,0.01076,0.01076,0.18986,0.0009,0.00597,0.76639,0.0016,0.00278,0.63771,0.00507,0.00194,0.69986,0,0.16528,0.01153,0.00736,rubensTest_original_rubens1.jpg_53a031f3-c250-4dd0-914d-d53ce0b136c1.jpg
0,0,0,0,0,64,0,1,38,25,0,31,0,1,0,0,0,0,0,7.12932,0,0.55222,0,0,0,0.03944,0.77708,0,0.64347,0,0,0.60694,0.86104,0,0,0.23889,0.80521,0,0.19569,0.04688,0,0,0,0.02549,0.32722,0.32722,0,0.2134,0,0,0.02722,0,0.03194,0.98035,0,0,0,0,0,0,0.00257,0,0.32722,0.32722,0,0.37882,0.22389,0,0,0.32722,0,0.00528,0.08361,0.32722,0.32722,0,0,0,0.17868,0.93417,0,0.02778,0.26465,0,0.16347,0,0.14625,0,0.96861,0,0.0534,0.32722,0.32722,0,0.82493,0.97,0,0,0,0,0,0.04479,0,0,0.47479,0,0.03194,0,0,0.00042,0,0,0,0,0,0.00215,0,0,0.77049,0.72813,0.8009,0,0.30556,0.00063,0,0.01722,0.04535,0.00778,0.19854,0,0,0.5709,0.54215,0.88583,0.62507,0.74806,0.00674,0,0,0,0.03194,0.91417,0,0.22451,0.96396,0.83708,0,0.52563,0.70076,0.32722,0,0,0,0,0.39271,0,0,0.83222,0,0.00271,0.73549,0,0.00764,0.67285,0,0.32722,0.00063,0,bruegelTest2_original_bruegel2.jpg_4c69169c-2e58-4f64-8145-6504a99fb78e.jpg
0,0,0,0,0,55,0,2,25,28,0,16,4,0,0,0,0,0,0,7.41484,0.02674,0.48417,0.00326,0.11431,0.09417,0.18889,0.62243,0,0.58743,0,0.00014,0.37194,0.70486,0.12076,0.00028,0.50382,0.63451,0.04771,0.33743,0.02701,0.00326,0,0.00326,0.22493,0.01111,0.01111,0,0.6841,0.00014,0.01771,0.18063,0.00021,0.07535,0.66674,0.06917,0.00111,0.12326,0.12326,0.00368,0.00007,0.00382,0.00694,0.01111,0.01111,0.01611,0.22604,0.25188,0.00042,0.00014,0.01111,0.00299,0.10938,0.43194,0.01111,0.01111,0,0.00104,0.06833,0.00382,0.53903,0.00007,0.17083,0.68812,0.00306,0.00569,0.00028,0.36146,0.11028,0.52403,0.11076,0.21958,0.01111,0.01111,0.05125,0.03403,0.67792,0.03979,0.08667,0.06979,0.06979,0.04861,0.19896,0,0.00042,0.3241,0.00014,0.07535,0.11368,0,0.00049,0.00153,0.00944,0.00111,0,0.08042,0.00215,0.00014,0.08167,0.13576,0.67299,0.68618,0,0.3241,0.0441,0.00389,0.16896,0.15389,0.00125,0.55653,0.05139,0.12771,0.00896,0.53257,0.65563,0.65347,0.01736,0.00181,0.11924,0.00014,0.00035,0.07535,0.23104,0.01632,0.48958,0.61618,0.68875,0.00854,0.27569,0.62792,0.01111,0.09861,0.00111,0.06979,0.06979,0.01493,0.00007,0.06361,0.68799,0.00326,0.00167,0.58431,0.06674,0.00146,0.65979,0,0.01111,0.0441,0.00368,picassoTest_original_picasso1.jpg_c1396646-f737-4acd-8536-b6ab1d7d6c5f.jpg
0,0,0,0,0,32,0,1,12,19,0,10,0,0,0,0,0,0,0,7.12287,0.35847,0.1966,0.00444,0.42854,0.62167,0.25146,0.18764,0,0.20382,0,0,0.00375,0.17569,0.58944,0.00187,0.01139,0.01625,0.00653,0.22785,0.00167,0.00444,0,0.00444,0.00979,0.05937,0.05937,0.00299,0.15764,0,0.00806,0.0091,0,0.00271,0.07215,0.1241,0.00007,0.59576,0.59576,0.00417,0,0.00097,0.00194,0.05937,0.05937,0.00069,0.00354,0.21937,0.00479,0,0.05937,0.00215,0.00826,0.01236,0.05937,0.05937,0.00299,0.0034,0.14604,0.00007,0.00389,0,0.24868,0.17826,0.00215,0.00326,0.00181,0.25472,0.56444,0.00854,0.62597,0.25306,0.05937,0.05937,0.08403,0.00764,0.05222,0.01042,0.32931,0.37,0.37,0.28437,0.25188,0.00299,0.00479,0.18215,0,0.00271,0.4175,0,0,0,0.01743,0.00007,0.00549,0.09618,0,0,0.50396,0.11924,0.19861,0.19097,0,0.21882,0.00632,0.00493,0.00868,0.00681,0,0.23201,0.0841,0.61938,0.00049,0.21153,0.1741,0.02236,0.00743,0.00042,0.60403,0,0,0.00271,0.06451,0.00042,0.01125,0.01375,0.04278,0.01681,0.17569,0.01632,0.05937,0.47681,0.00007,0.37,0.37,0.06938,0.00528,0.03951,0.18333,0.00444,0.00104,0.00882,0.0441,0,0.2059,0,0.05937,0.00632,0.00493,mondriaanTest_original_mondriaan1.jpg_d9736735-9bee-4c9d-9347-26a4ae6d63a7.jpg
0,0,0,0,0,54,0,0,29,25,0,32,1,1,1,0,0,0,0,7.26576,0,0.51271,0,0,0,0.03681,0.75639,0,0.62993,0,0,0.63062,0.84139,0,0,0.3491,0.80986,0,0.21153,0.05528,0,0,0,0.05771,0.25799,0.25799,0,0.32285,0.00007,0.00007,0.04785,0.00007,0.04111,0.97125,0,0,0,0,0,0,0.00472,0,0.25799,0.25799,0,0.42389,0.22319,0,0.00007,0.25799,0,0.00792,0.18222,0.25799,0.25799,0,0,0,0.18139,0.93007,0,0.02694,0.38396,0,0.13674,0,0.16243,0,0.96208,0,0.05167,0.25799,0.25799,0,0.69542,0.95833,0,0,0,0,0,0.04125,0,0,0.41528,0.00007,0.04111,0,0,0.00167,0,0,0,0,0,0.00458,0,0,0.63306,0.72465,0.7891,0,0.29444,0.00118,0.00007,0.03215,0.06542,0.01132,0.24729,0,0,0.44194,0.52306,0.85361,0.66201,0.60389,0.00944,0,0.00007,0,0.04111,0.82771,0,0.33569,0.95368,0.82111,0,0.43868,0.72507,0.25799,0,0,0,0,0.3084,0,0,0.8166,0,0.00444,0.75396,0,0.01118,0.68049,0,0.25799,0.00118,0.00007,bruegelTest2_original_bruegel2.jpg_3f10ba30-3f9c-42e3-abd9-0b8cd28d0ec0.jpg
0,0,0,0,0,47,0,0,25,22,0,10,2,1,1,0,0,0,0,7.56338,0.02347,0.57674,0.00306,0.00951,0.02479,0.1616,0.68514,0.00007,0.64069,0.00097,0.00007,0.39861,0.77375,0.02451,0.00167,0.41847,0.66104,0.01167,0.45854,0.14236,0.00306,0.00097,0.00306,0.13667,0.21111,0.21111,0.00111,0.49812,0.00007,0.02549,0.1366,0.00035,0.1625,0.82479,0.01361,0.00257,0.02431,0.02431,0.00313,0,0.07167,0.00396,0.21111,0.21111,0.00597,0.33063,0.41889,0.00271,0.00007,0.21111,0.01208,0.04618,0.25993,0.21111,0.21111,0.00111,0.00521,0.01326,0.0791,0.66757,0,0.12576,0.57632,0.01306,0.02028,0.00167,0.42854,0.02854,0.71243,0.02729,0.20556,0.21111,0.21111,0.01076,0.34833,0.83424,0.00604,0.02458,0.02639,0.02639,0.02528,0.17701,0.00111,0.00271,0.49222,0.00007,0.1625,0.00958,0.00097,0.00097,0.00285,0.00208,0.00257,0.00056,0.00903,0.04674,0.00215,0.01292,0.40563,0.72069,0.74729,0.00097,0.47924,0.01507,0.01035,0.10528,0.21563,0.00187,0.50076,0.01076,0.02903,0.12778,0.59708,0.7309,0.62958,0.27924,0.00479,0.02854,0.00007,0.00063,0.1625,0.49472,0.00618,0.40861,0.77229,0.78521,0.00208,0.46354,0.61813,0.21111,0.02618,0.00257,0.02639,0.02639,0.23778,0.00042,0.01236,0.75493,0.00306,0.005,0.54826,0.00764,0.00201,0.69944,0,0.21111,0.01507,0.01,rubensTest_original_rubens1.jpg_c422c3b1-4c12-485e-9a78-502d33d18dfa.jpg
0,0,0,0,0,61,0,0,34,27,0,17,0,1,1,0,0,0,0,7.32862,0,0.56021,0,0,0,0.08542,0.80611,0,0.68486,0,0.00021,0.60104,0.88139,0,0,0.38632,0.82542,0,0.27306,0.04188,0,0,0,0.05417,0.19583,0.19583,0,0.46437,0.00007,0,0.04333,0.00049,0.02757,0.98396,0,0.00014,0,0,0,0,0.00375,0,0.19583,0.19583,0,0.39736,0.25708,0,0.00007,0.19583,0,0.00639,0.21194,0.19583,0.19583,0,0,0,0.13854,0.90049,0,0.06986,0.5159,0,0.10667,0,0.23958,0,0.92972,0,0.11389,0.19583,0.19583,0,0.5734,0.97208,0,0,0,0,0,0.09493,0,0,0.44146,0.00007,0.02757,0,0,0.00125,0.00028,0,0.00014,0,0,0.00347,0,0,0.60278,0.7825,0.83813,0,0.33507,0.00083,0,0.02785,0.05618,0.00757,0.34806,0,0,0.36312,0.57375,0.89521,0.71771,0.47854,0.00597,0,0.00007,0.00028,0.02757,0.80715,0,0.3691,0.93437,0.85229,0,0.45687,0.74938,0.19583,0,0.00014,0,0,0.24674,0,0,0.86125,0,0.00215,0.74826,0,0.00736,0.74424,0,0.19583,0.00083,0,bruegelTest2_original_bruegel2.jpg_c4e4500d-39d8-4568-8464-726c17662eff.jpg
0,0,0,0,0,44,0,1,20,23,0,17,2,5,0,0,0,0,0,7.44856,0,0.40632,0,0.00063,0.00014,0.69167,0.44965,0,0.46833,0,0,0.0416,0.50313,0,0.00132,0.13187,0.18049,0,0.59292,0.00632,0,0,0,0.1125,0.00014,0.00014,0,0.73347,0,0.46667,0.07806,0,0.02174,0.26514,0.26347,0,0,0,0,0,0,0,0.00014,0.00014,0,0.03861,0.37375,0,0,0.00014,0,0.07229,0.18444,0.00014,0.00014,0,0.01979,0.20563,0,0.04437,0,0.63875,0.72354,0,0,0.00125,0.72854,0,0.03347,0.00056,0.74674,0.00014,0.00014,0.20264,0.00097,0.2825,0,0,0,0,0,0.71333,0,0,0.27222,0,0.02174,0.00063,0,0,0,0,0,0,0,0,0,0.02222,0.00444,0.54097,0.51701,0,0.41319,0.04458,0.06139,0.08201,0.05514,0,0.75597,0.20333,0.00035,0.00021,0.46299,0.43118,0.29069,0.00049,0,0,0,0,0.02174,0.00438,0,0.12792,0.11097,0.36167,0,0.17896,0.19007,0.00014,0,0,0,0,0.00014,0,0,0.50736,0,0,0.10424,0,0,0.55312,0,0.00014,0.04458,0.05799,bruegelTest1_original_bruegel1.jpg_6f5d3a10-1667-403e-aefe-5f505885bf0e.jpg
0,0,0,0,0,42,0,0,18,24,0,24,4,0,0,0,0,0,0,7.28426,0.00326,0.59507,0,0.00882,0.02125,0.21132,0.7516,0,0.71389,0.00007,0.00042,0.41785,0.81611,0.00944,0.00125,0.55437,0.73785,0.00021,0.40597,0.02396,0,0.00007,0,0.18958,0.01063,0.01063,0.00063,0.76035,0.00104,0.0209,0.15486,0.0009,0.08764,0.775,0.06111,0.00028,0.01035,0.01035,0,0.00069,0.00729,0,0.01063,0.01063,0,0.26056,0.29875,0.00083,0.00104,0.01063,0.00021,0.08458,0.45174,0.01063,0.01063,0.00063,0.00278,0.06083,0.00556,0.61417,0.00035,0.18403,0.77535,0.00028,0.00167,0.00125,0.42944,0.00681,0.62646,0.02194,0.25785,0.01063,0.01063,0.04257,0.06139,0.78132,0.00014,0.00083,0.00271,0.00271,0.00215,0.22542,0.00063,0.00083,0.38569,0.00104,0.08764,0.00875,0.00007,0.00146,0.00035,0.0034,0.00028,0.00014,0.00118,0.00354,0.00007,0.04604,0.17368,0.78889,0.80028,0.00007,0.38653,0.05722,0.00611,0.13583,0.14333,0.00174,0.63681,0.04278,0.01618,0.00882,0.6541,0.77625,0.76785,0.02382,0.00146,0.01326,0.00104,0.00056,0.08764,0.31792,0.00007,0.53819,0.69701,0.81444,0.00299,0.32507,0.72937,0.01063,0.00299,0.00028,0.00271,0.00271,0.01465,0.00035,0.00021,0.80285,0,0.00104,0.6591,0.00069,0.0016,0.77694,0,0.01063,0.05722,0.00604,picassoTest_original_picasso1.jpg_97f36552-dca5-4727-81da-b728a745461d.jpg
